_id,additional,firstName,lastName,role,fullName,gnd,occupation
6504166ba47588ad6024b0b1,1872-1921,Margarethe,Swoboda,Benjamine,"Orbes, Margarethe",117139602,Schauspieler
6504166ba47588ad6024b0b2,,Marie,Swoboda,Katharina von Rosen,"Swoboda, Marie",116084235,Schauspieler
6504166ba47588ad6024b0b0,,Josef Wilhelm,Swoboda,Berg,"Swoboda, Joseph Wilhelm",130160040,Schauspieler
66c0f4be797f4aaa6ad1a304,,Janusz,Sykutera,Albin,"Sykutera, Janusz",1225583918,Schauspieler
6504166ba47588ad6024b568,,Michel-Jean,Sédaine,,"Sedaine, Michel-Jean",118795961,Schauspieler
6504166ba47588ad6024b0ba,,Auguste,Taglioni,"Nelli, seine Nichte und Mündel","Taglioni, Auguste",117197335,Schauspieler
67bdc1d230450db5f640c017,,Rabindranath,Tagore,,"Tagore, Rabindranath",118620517,Schauspieler
660d9d8f21b0fcd2e6eb8f5c,Vater,Herr,Teimer,Lisle,Herr Teimer,,Schauspieler
6504166ba47588ad6024b0d2,,Caroline,Teimer (Theimer),Marie,"Teimer, Caroline",1025837444,Schauspieler
6504166ba47588ad6024b0b7,,Michael,Tellering,Raphael,"Tellering, Michael",137608543,Schauspieler
6504166ba47588ad6024b0c0,,Ruth,Teschenbruck,Nadine v. Pontbrisson,"Teschenbruck, Ruth von",1062210743,Schauspieler
6504166ba47588ad6024b0c5,1752-1784,Maria Antonie,Teutscher,"Olivie, deren Stieftochter","Teutscher, Marie Antonie",1049895967,Schauspieler
6504166ba47588ad6024b0cd,,Wolfgang,Thaller,Bahnhofkellner,Wolfgang Thaller,,Schauspieler
6504166ba47588ad6024b0cc,1854-1951,Willy,Thaller,"Matthias Gunglbauer, Wegmacher","Thaller, Wilhelm",11729859X,Schauspieler
6504166ba47588ad6024b0d3,,Louise,Theisen,"Jane Eyre, eine Waise","Theisen-Perard-Petzl, Louise",117301558,Schauspieler
6504166ba47588ad6024b0d5,1937-1938,Lisa,Thenen,Hannerl,Lisa Thenen,,Schauspieler
6504166ba47588ad6024b0df,,Hermann,Thimig,Lyrik und Prosa. Es lesen,"Thimig, Hermann",118757121,Schauspieler
6504166ba47588ad6024b0de,1889-1974,Helene,Thimig,"Dramaturgisches, Aphorismen, Gedichte","Thimig, Helene",118757113,Schauspieler
6504166ba47588ad6024b0dd,,Hans,Thimig,1. Totengräber,"Thimig, Hans",118757105,Schauspieler
6504166ba47588ad6024b0e0,1854-1944,Hugo,Thimig,Carlo,"Thimig, Hugo",11875713X,Schauspieler
6504166ba47588ad6024b8db,,Ludwig,Thoma,,"Thoma, Ludwig",118622072,Schauspieler
69120644dd3949980ba0dc5b,,Alice,Thompson,Refugees and Conveeners,Alice Thompson,,Schauspieler
658f014251cd38b410089abe,1936-1938,Inge,Thorsch,"Anneliese, das Kind",Inge Thorsch,,Schauspieler
690c5e4852365fce4c987924,,Frank,Thring,"Saturninus, der Sohn des vormaligen Kaisers von Rom","Thring, Frank",1034557521,Schauspieler
6504166ba47588ad6024b0e4,,Herr E.,Thürnagel,Langsalm,Herr E. Thürnagel,,Schauspieler
6504166ba47588ad6024b8df,,Dorothea,Tieck,Deutsch,"Tieck, Dorothea",11737606X,Schauspieler
6504166ba47588ad6024b0e8,1966-1968,Franziska (Francis),Tilden,Engel,Franziska (Francis) Tilden,,Schauspieler
654cfd1b0080658502b19d64,,Anton Emil,Titl,Musik,"Titl, Anton Emil",117401145,Schauspieler
6504166ba47588ad6024b594,,Leo,Tolstoi,,"Tolstoj, Lev Nikolaevič",11864291X,Schauspieler
6504166ba47588ad6024b0f9,,Margarethe,Tondeur,"Benjamine, dessen Tochter",Margarethe Tondeur,,Schauspieler
6504166ba47588ad6024b101,,Hans,Totzauer,Musik,"Totzauer, Hans",13964671X,Schauspieler
651691d696c724dc0090d038,,Gilbert,Trefzger,2. Totengräber,Gilbert Trefzger,,Schauspieler
6504166ba47588ad6024b107,,Marie,Trentin,Dritte Dame,Marie Trentin,,Schauspieler
6504166ba47588ad6024b0fa,1862-1910,Sofie,Tressler,"Marguérite, ihre Tochter","Tressler, Sophie",11614386X,Schauspieler
6504166ba47588ad6024b0f5,1871-1965,Otto,Tressler,Zwei Totengräber,"Tressler, Otto",117414719,Schauspieler
651691d696c724dc0090cb19,,Alfred,Tressler,Schufterle,Alfred Tressler,,Schauspieler
